hypomania,,,,,,,,,,,,,,,,,,,,,,,,,,
cruel,atrocious,barbarous,murder,brutal,,,evil,harsh,,,inhuman,inhumane,merciless,,relentless,ruthless,sadistic,spiteful,tyrannical,,vicious,wicked,,,,
anxiolytics,,,,,,,,,,,,,,,,,,,,,,,,,,
restless,agitated,,disturbed,edgy,fidgety,itchy,nervous,restive,sleepless,troubled,uneasy,unruly,unsettled,,,,,,,,,,,,,
makeup,lipstick,cosmetics,,,,,,,,,,,,,,,,,,,,,,,,
burning,fiery,flaming,gleaming,glowing,hot,scorching,searing,,,,,,,,,,,,,,,,,,,
introverted,introspective,reclusive,soft-spoken,,,,,,,,,,,,,,,,,,,,,,,
bladder,bowel,diarrhea,,,,,,,,,,,,,,,,,,,,,,,,
reckless,audacious,brash,,,daring,foolhardy,hasty,,imprudent,,,,,,,,,,,,,,,,,
irrational,aberrant,absurd,,,incoherent,insane,preposterous,ridiculous,stupid,unreasonable,,,,,,,,,,,,,,,,
indifferent,aloof,apathetic,callous,detached,diffident,disinterested,distant,haughty,heartless,impartial,impervious,,,nonchalant,uncaring,unconcerned,,,unsympathetic,,,,,,,
heroin,dope,inhalant,narcotic,drug,,,,,,,,,,,,,,,,,,,,,,
TIA,,,,,,,,,,,,,,,,,,,,,,,,,,
cautious,circumspect,discreet,judicious,leery,prudent,tentative,vigilant,wary,watchful,,,,,,,,,,,,,,,,,
careless,,forgetful,hasty,,,indiscreet,irresponsible,lackadaisical,lax,negligent,nonchalant,reckless,sloppy,thoughtless,,,,,,,,,,,,
insomnia,amnesia,,,,,,,,,,,,,,,,,,,,,,,,,
frowning,,,,,,,,,,,,,,,,,,,,,,,,,,
disgust,,dislike,distaste,,loathing,revulsion,,,,,,,,,,,,,,,,,,,,
rituals,,custom,,habit,liturgy,observance,practice,procedure,rite,routine,,,,,,,,,,,,,,,,
hide,veil,camouflage,cover,disguise,,mask,,,,,shield,,stash,suppress,tuck away,withhold,,,,,,,,,,
coma,,hibernation,slumber,trance,,,,,,,,,,,,,,,,,,,,,,
dream,,,,,,,,,,,,,,,,,,,,,,,,,,
self-centered,self-involved,,,,,,,,,,,,,,,,,,,,,,,,,
oppressor,,,,,,,,,,,,,,,,,,,,,,,,,,
ache,,,pain,stiffness,twinge,,,,,,,,,,,,,,,,,,,,,
giddiness,vertigo,,,,,,,,,,,,,,,,,,,,,,,,,
analytical,businesslike,careful,deliberate,disciplined,efficient,meticulous,orderly,painstaking,precise,scrupulous,structured,systematic,,,,,,,,,,,,,,
loyal,,,,,trustworthy,,,,,,,,,,,,,,,,,,,,,
confinement,desolation,remoteness,segregation,solitude,,,,,,,,,,,,,,,,,,,,,,
aggressive,antagonistic,bellicose,combative,contentious,hostile,ornery,quarrelsome,,,,,,,,,,,,,,,,,,,
delirious,dizzy,drunk,,,,,,,,,,,,,,,,,,,,,,,,
impossible,impractical,improbable,unworkable,,,,,,,,,,,,,,,,,,,,,,,
bitter,dismal,heartbroken,melancholy,mournful,pessimistic,somber,sorrowful,,wistful,,,,,,,,,,,,,,,,,
corrective,superficial,,,,,,,,,,,,,,,,,,,,,,,,,
misleading,,,,,,,,,,,,,,,,,,,,,,,,,,
barren,bogus,futile,inconsequential,ineffective,insignificant,meaningless,mediocre,pointless,unimportant,unproductive,unprofitable,unusable,useless,,,,,,,,,,,,,
accommodating,deferential,dutiful,meek,obedient,passive,,,,,,,,,,,,,,,,,,,,,
fret,jiggle,squirm,twiddle,twitch,,,,,,,,,,,,,,,,,,,,,,
bamboozle,,,,,,,,,,,,,,,,,,,,,,,,,,
chisel,divide,engrave,etch,fashion,hack,mold,sculpt,shape,slice,,,,,,,,,,,,,,,,,
comb,educate,prim,tend,,,,,,,,,,,,,,,,,,,,,,,
alarm,appall,awe,bully,coerce,constrain,daunt,dishearten,dismay,scare,subdue,terrify,terrorize,,,,,,,,,,,,,,
compulsion,delusion,enthusiasm,fascination,infatuation,mania,passion,phobia,preoccupation,,,,,,,,,,,,,,,,,,
illusion,,fantacy,,,,,,,,,,,,,,,,,,,,,,,,
adolescent,baby,infant,juvenile,kid,minor,offspring,teenager,toddler,youngster,youth,,,,,,,,,,,,,,,,
decent,decisive,dependable,good,honest,,,,,,,,,,,,,,,,,,,,,,
culpability,disgrace,indiscretion,liability,regret,remorse,,,sin,,,,,,,,,,,,,,,,,,
agony,anguish,despair,torment,gloom,grief,hardship,torture,,,,,,,,,,,,,,,ordeal,,strain,stress,suffering
aroused,,,,,,,,,,,,,,,,,,,,,,,,,,
hedonistic,sybaritic,,,,,,,,,,,,,,,,,,,,,,,,,
break-in,burglary,crime,embezzlement,extortion,fraud,heist,holdup,larceny,looting,mugging,piracy,robbery,shoplifting,thievery,vandalism,,,,,,,,,,,
drag,limp,straggle,stumble,,,,,,,,,,,,,,,,,,,,,,,
consideration,debate,mind,scrutiny,thinking,thought,,,,,,,,,,,,,,,,,,,,,
arrogant,egotistical,pompous,,,,,,,,,,,,,,,,,,,,,,,,
booze,drink,ethanol,liquor,methanol,smoke,,,,,,,,,,,,,,,,,,,,,
convicted,culpable,liable,remorseful,,,,,,,,,,,,,,,,,,,,,,,
anguish,desperation,despondency,discouragement,gloom,melancholy,misery,pain,sorrow,,,,,,,,,,,,,,,,,,
restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,
ambiguity,apprehension,,difficulty,disbelief,distrust,fear,hesitation,misgiving,mistrust,problem,qualm,reluctance,skepticism,suspense,suspicion,uncertainty,,,,,,,,,,
giddiness,vertigo,,,,,,,,,,,,,,,,,,,,,,,,,
distrustful,greedy,suspicious,watchful,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
coercion,obsession,preoccupation,urgency,,,,,,,,,,,,,,,,,,,,,,,
